Caste,subcastes,source
BAYEN,"['BAJUNIA', 'BAYEN']",mf
BAZIGAR,"['BAZIGAR', 'KALANDAR', 'JOGI', 'NAT', 'BADHAI']",mf
BEDA,['BEDA'],gov
BEDA JANGAM,"['BUDGA JANGAM', 'BEDA JANGAM']",gov
BEDARU,"['HIRSHIKARI', 'BENDAR', 'MYASA NAYAKA', 'BARGI', 'RAMOSHI', 'BOYA', 'BYADA', 'URS NAYAKA', 'BEDARU', 'BERAD', 'BEPAR', 'VALMIKIMAKKALUM VEDAN', 'NAIKAMAKKALU', 'TALAWARA', 'TALWAR', 'PALEGAR', 'NAIKWADI', 'PARIVARA NAYAKA', 'PARIVARA', 'BARKI', 'VALIMIKI', 'BEDAR']",gov
BEDIA,"['BEDIA', 'BEJIA', 'BEDDI', 'BERIA']",gov
BEHNA,"['BEHNA', 'SIDDIQUI', 'HANAFI']",mf
BELAMA,['BELAMA'],gov
BELAVVA,"['PUJARI', 'BELAVVA']",mf
BELDAR,"['BHATI', 'SUNKAR', 'MUSLIM BELDAR', 'OD', 'TAWAR', 'BELDAR']",mf_jeevansathi
BELLARA,['BELLARA'],gov
BENAYAT,"['BENAYAT', 'MUNDA', 'GOUDA', 'SUKULIA', 'CHAKULIA', 'SATAGHARIA']",mf
BENTKAR,['BENTKAR'],gov
BERAD,"['BEDAR NAIKWADI TALWAR WALMIKI', 'BERAD']",mf
BERIA,['BERIA'],gov
BESTHA,"['BESTER', 'JALARI', 'BESTALLU', 'JALARU', 'BESTA', 'PUJARI', 'KUDARI', 'SIVIAR', 'CHEEMALA', 'POKANTI', 'YADAV', 'NAIKA', 'BUNDE-BESHTA', 'VALMIKI', 'SELLA', 'BESHTAR', 'BESTHA', 'SAYED', 'SANCHALUWADDAR', 'MOGERU', 'DASAI', 'BESTI', 'MATESHP']",mf
BETA,"['HANSI', 'HASI', 'HENSI', 'BETA']",gov
BETA HENSI,"['BETA HENSI', 'HESI']",gov
BETKAR,['BETKAR'],gov
BHAAT,"['BHATRAJ', 'BHATRAJU', 'BOHROT', 'BHAAT']",gov
BHADBHUNJA,"['BHARADBHUNGA', 'BHURANJI', 'BHURJAWA', 'BHADBHUNJA', 'BHUNJ', 'BHURJI', 'BHUJWA']",gov
BHAINA,"['BHAINA', 'RAM']",mf
BHAJANTRI,['BHAJANTRI'],mf_jeevansathi
BHAJIR,['BHAJIR'],mf
BHAKTA,['BHAKTA'],mf
BHALDAR,['BHALDAR'],gov
BHALIA,['BHALIA'],gov
BHAMBI,"['TELEGU MOCHI', 'CHAMGAR', 'BHAMBI', 'PARDESHI CHAMAR', 'RAMNAMI', 'SURJYARAMNAMI', 'CHAMAR', 'KHALPA', 'MOCHIGAR', 'MACHIGAR', 'CHAMAR-RAVIDAS', 'MADAR', 'MUCHI', 'SURJYABANSHI', 'ASODI', 'CHAMBHAR', 'NONA', 'ROHIT', 'ASADARU', 'HARALI', 'MADIG', 'RANIGAR', 'SATNAMI', 'NALIA', 'CHAMARI', 'TELUGU MOCHI', 'HARALAYYA', 'KAMATI MOCHI', 'ROHIDAS', 'MOCHI', 'BHAMBHI', 'CHAMADIA', 'SAMGAR', 'SAMAGARA', 'CHARMAKAR']",gov
BHAMTA,"['GIRNI', 'PARDESHI', 'KAMATI', 'BHAMPTA', 'PATHRUT', 'TAKARI', 'GHANTICHORE', 'PARDESHI BHAMTA', 'BHOMPTRA', 'UCHILLIAN', 'UCHALE', 'BHAMTI', 'WADDAR', 'PARADESHI', 'BHAMTA']",gov
